pad,well,event_type,timestamp,pg_before,pg_after,delta_pg
105,105W03,105W03 NFE,2025-08-11 13:49:00,132.74349975585938,-0.1058482825756073,-132.84934803843498
105,105W18,105W18 start,2025-08-11 16:31:00,-0.1058482825756073,-0.1058482825756073,0.0
105,105W14,105W14 start,2025-08-11 16:31:00,-0.1058482825756073,118.69564819335938,118.80149647593498
105,105W14,105W14 trip,2025-08-11 17:07:00,118.69564819335938,133.37110900878906,14.675460815429688
105,105W03,105W03 trip,2025-08-11 18:25:00,133.37110900878906,150.3433380126953,16.97222900390625
105,105W18,105W18 trip,2025-08-11 18:31:00,150.3433380126953,112.6244659423828,-37.718872070312514
105,105W03,105W03 start,2025-08-11 18:55:00,112.6244659423828,112.6244659423828,0.0
105,105W18,105W18 start,2025-08-11 18:55:00,112.6244659423828,151.14585876464844,38.52139282226564
105,105W18,105W18 trip,2025-08-11 19:37:00,151.14585876464844,151.14585876464844,0.0
105,105W18,105W18 +7.05 hz,2025-08-11 19:37:00,151.14585876464844,172.68539428710938,21.539535522460938
105,105W03,105W03 trip,2025-08-11 21:43:00,172.68539428710938,-0.048626959323883,-172.73402124643326
105,105W03,105W03 start,2025-08-12 07:19:00,-0.048626959323883,131.06546020507812,131.114087164402
105,105W11,105W11 NFE,2025-08-14 07:25:00,131.06546020507812,110.0866928100586,-20.97876739501953
105,105W11,105W11 +8.52 hz,2025-08-14 13:37:00,110.0866928100586,116.55413818359376,6.4674453735351705
105,105W17,105W17 trip,2025-08-14 18:01:00,116.55413818359376,151.11009216308594,34.55595397949217
105,105W17,105W17 start,2025-08-15 03:55:00,151.11009216308594,131.22998046875,-19.880111694335938
105,105W17,105W17 trip,2025-08-15 04:07:00,131.22998046875,0.0643851682543754,-131.16559530049562
105,105W07,105W07 trip,2025-08-15 06:49:00,0.0643851682543754,131.8679962158203,131.80361104756594
105,105W07,105W07 trip,2025-08-15 07:13:00,131.8679962158203,126.18305206298828,-5.684944152832031
105,105W07,105W07 start,2025-08-15 10:07:00,126.18305206298828,113.37836456298828,-12.8046875
105,105W07,105W07 start,2025-08-15 10:13:00,113.37836456298828,137.30545043945312,23.927085876464844
105,105N03,105N03 trip,2025-08-15 19:55:00,137.30545043945312,126.45198822021484,-10.853462219238281
105,105N03,105N03 start,2025-08-15 20:01:00,126.45198822021484,152.83676147460938,26.38477325439453
