pad,well,event_type,timestamp,pad_pg_value
P121,101N01,101N01 trip,2025-07-27 20:13:00,119.25689697265625
P121,101N01,101N01 start,2025-07-27 21:43:00,187.04080200195312
P121,101N01,101N01 NFE,2025-07-27 17:49:00,131.04258728027344
P121,101N01,101N01 +2.09 hz,2025-07-28 05:43:00,154.54396057128906
P121,101N01,101N01 +2.15 hz,2025-08-01 07:43:00,119.48387145996094
P121,101N01,101N01 +2.21 hz,2025-08-08 02:19:00,121.12612915039062
P121,101N02,101N02 trip,2025-07-27 20:13:00,119.25689697265625
P121,101N02,101N02 start,2025-07-27 21:37:00,180.45462036132812
P121,101N02,101N02 +2.05 hz,2025-07-28 13:07:00,122.99153900146484
P121,101N02,101N02 +2.16 hz,2025-07-28 13:19:00,222.140869140625
P121,101N02,101N02 trip,2025-08-05 04:49:00,125.51786041259766
P121,101N02,101N02 start,2025-08-05 09:49:00,250.95846557617188
P121,101N03,101N03 NFE,2025-07-27 17:01:00,-0.2117077261209488
P121,101N03,101N03 +5.69 hz,2025-07-28 13:37:00,-0.11061672121286392
P121,101N03,101N03 +2.02 hz,2025-08-07 23:25:00,120.20628356933594
P121,101N04,101N04 trip,2025-07-27 20:13:00,119.25689697265625
P121,101N04,101N04 start,2025-07-27 22:13:00,164.7888641357422
P121,101N06,101N06 trip,2025-07-27 20:13:00,119.25689697265625
P121,101N06,101N06 start,2025-07-27 22:19:00,160.71185302734375
P121,101N06,101N06 +2.24 hz,2025-07-29 07:13:00,180.9884490966797
P121,101N06,101N06 +2.05 hz,2025-08-08 00:37:00,-0.017155222594738007
P121,101N07,101N07 trip,2025-07-27 11:55:00,-0.07437655329704285
P121,101N07,101N07 start,2025-07-27 20:01:00,0.00287224305793643
P121,101N07,101N07 trip,2025-07-27 20:13:00,119.25689697265625
P121,101N07,101N07 start,2025-07-27 21:49:00,150.702392578125
P121,101N07,101N07 trip,2025-07-27 23:37:00,174.297607421875
P121,101N07,101N07 start,2025-07-28 09:07:00,-0.07628393173217773
P121,101N07,101N07 +9.25 hz,2025-07-28 14:31:00,219.5797119140625
P121,101N07,101N07 trip,2025-08-05 04:49:00,125.51786041259766
P121,101N07,101N07 start,2025-08-05 09:49:00,250.95846557617188
P121,101N07,101N07 trip,2025-08-05 11:07:00,108.76345825195312
P121,101N07,101N07 start,2025-08-05 12:13:00,118.58407592773438
P121,101N07,101N07 trip,2025-08-05 13:43:00,108.79063415527344
P121,101N07,101N07 start,2025-08-05 20:07:00,160.52015686035156
P121,101N08,101N08 trip,2025-07-27 20:13:00,119.25689697265625
P121,101N08,101N08 start,2025-07-27 22:01:00,-0.07437655329704285
P121,101N08,101N08 +8.66 hz,2025-07-29 09:13:00,-0.0758313313126564
P121,101N09,101N09 trip,2025-07-27 20:07:00,0.026714464649558067
P121,101N09,101N09 start,2025-07-27 22:19:00,160.71185302734375
P121,101W05,101W05 trip,2025-07-27 20:13:00,119.25689697265625
P121,101W05,101W05 start,2025-07-27 22:43:00,0.03625135123729706
P121,101W05,101W05 NFE,2025-07-27 18:49:00,-0.1015566810965538
P121,101W05,101W05 +2.63 hz,2025-07-29 03:07:00,110.9903564453125
P121,101W05,101W05 +2.67 hz,2025-07-29 06:19:00,162.92820739746094
P121,101W05,101W05 +2.33 hz,2025-07-29 09:13:00,-0.0758313313126564
P121,101W06,101W06 trip,2025-07-27 20:01:00,0.00287224305793643
P121,101W06,101W06 trip,2025-07-27 20:07:00,0.026714464649558067
P121,101W07,101W07 trip,2025-07-27 20:07:00,0.026714464649558067
P121,101W07,101W07 start,2025-07-27 22:43:00,0.03625135123729706
P121,101W07,101W07 start,2025-07-27 22:49:00,-0.20789296925067902
P121,102N01,102N01 NFE,2025-07-28 08:01:00,177.1601104736328
P121,102N01,102N01 +9.86 hz,2025-07-28 16:43:00,-0.04719642549753189
P121,102N01,102N01 trip,2025-07-30 09:13:00,153.3560333251953
P121,102N04,102N04 trip,2025-07-27 08:07:00,172.6539306640625
P121,102N04,102N04 start,2025-07-28 09:01:00,115.1622314453125
P121,102N04,102N04 NFE,2025-07-30 09:25:00,-0.10298721492290497
P121,102N04,102N04 +12.95 hz,2025-07-30 15:19:00,119.07903289794922
P121,102N04,102N04 NFE,2025-08-02 02:43:00,228.73513793945312
P121,102N04,102N04 +2.08 hz,2025-08-02 07:31:00,200.28184509277344
P121,102N04,102N04 +2.02 hz,2025-08-02 07:55:00,-0.10298721492290497
P121,102N04,102N04 +14.01 hz,2025-08-02 10:43:00,178.36033630371094
P121,102N04,102N04 trip,2025-08-02 15:49:00,112.91771697998047
P121,102N04,102N04 start,2025-08-07 10:07:00,-0.07437655329704285
P121,102N04,102N04 NFE,2025-08-07 22:31:00,145.9301300048828
P121,102N04,102N04 trip,2025-08-08 10:13:00,118.62269592285156
P121,102N04,102N04 +11.89 hz,2025-08-08 10:13:00,118.62269592285156
P121,102N07,102N07 NFE,2025-07-29 12:37:00,197.68682861328125
P121,102N07,102N07 NFE,2025-08-03 19:13:00,151.08863830566406
